Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,4,0,0,0,0,1,0,0,0,0,0,1
2,9,0,0,0,0,1,0,0,0,0,0,1
3,10,0,0,0,0,1,0,0,0,0,0,1
4,7,0,1,0,0,0,0,0,0,2,0,3
5,2,0,2,0,1,0,1,1,0,2,0,2
6,2,0,1,0,1,0,1,1,0,2,0,0
7,4,0,0,0,0,2,0,2,0,0,0,0
8,3,0,0,0,0,1,0,7,0,0,0,10
9,1,0,0,0,0,1,0,9,0,0,0,16
10,0,0,2,0,2,0,1,2,0,2,0,0
11,1,2,2,0,3,0,1,2,1,3,0,1
12,1,2,2,0,1,0,0,1,1,3,0,1
13,0,0,0,0,0,0,0,2,0,0,0,0
14,0,0,1,0,1,1,0,0,0,0,0,0
15,1,0,1,0,1,1,0,3,0,4,0,3
16,1,0,1,0,1,1,0,1,0,3,0,1
17,1,1,4,0,2,1,0,5,0,2,0,3
18,1,0,1,0,1,0,1,2,0,2,0,1
19,3,0,1,0,0,1,0,1,0,0,0,0
20,3,0,0,0,0,1,0,1,0,0,0,0
21,3,0,0,0,0,1,0,11,0,0,0,12
22,1,0,0,0,0,1,0,11,0,0,0,12
23,0,0,2,0,2,0,1,2,0,2,0,0
24,1,2,2,0,1,0,0,1,1,3,0,1
25,1,2,0,0,3,0,1,1,1,2,0,1
26,1,3,3,1,2,0,1,1,0,1,2,3
27,2,1,1,1,1,0,1,2,0,0,2,2
28,2,4,2,2,2,0,1,2,0,1,3,3
29,2,3,3,1,1,0,1,1,0,1,1,3
30,5,1,0,0,0,0,1,0,0,0,0,0
31,5,2,0,0,0,0,2,0,0,0,0,0
32,5,1,1,1,1,1,1,0,0,0,0,0
33,2,2,3,1,3,2,0,2,0,2,0,2
34,2,1,3,1,1,2,1,2,1,1,1,1
35,0,0,0,2,0,1,0,0,0,0,2,0
36,0,0,0,2,0,1,0,10,0,0,2,12
37,0,0,0,2,0,1,0,10,0,0,2,12
38,0,0,0,0,0,1,0,0,0,0,1,6
39,4,0,0,0,0,0,0,5,0,0,0,12
40,2,0,0,1,0,1,0,8,0,0,3,6
41,2,0,0,2,0,2,0,14,0,0,6,2
42,2,0,0,1,0,1,0,7,0,0,3,8
43,1,0,1,0,1,4,0,1,0,0,0,0
44,1,0,2,0,1,4,1,2,0,1,0,1
45,2,0,0,0,0,1,0,1,0,1,0,0
46,1,0,0,0,0,0,0,2,0,0,0,0
47,0,0,0,0,1,1,0,6,0,0,0,0
48,0,6,0,0,0,1,1,0,0,0,0,0
49,0,5,0,0,1,3,1,0,0,0,0,0
50,1,0,1,0,4,4,2,2,0,1,0,1
51,1,0,2,2,1,2,1,2,2,2,1,1
52,0,6,0,0,0,0,2,0,0,0,0,0
53,0,6,0,0,0,0,0,0,0,0,0,0
54,2,2,1,1,1,0,0,1,0,1,0,1
55,2,0,2,0,0,1,2,2,0,2,0,1
56,2,0,0,0,0,1,0,1,0,1,0,1
57,3,0,4,0,1,1,0,1,0,1,0,3
58,4,0,5,0,3,1,1,2,0,3,0,1
59,2,0,1,0,0,1,0,1,0,0,0,0
60,5,0,1,0,0,1,0,2,0,0,0,0
