Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,0,6,6,7,0,0,0,0,0,0,0,0
2,3,8,14,8,0,0,0,0,0,3,0,0
3,4,6,4,1,1,3,6,1,1,0,0,0
4,0,3,0,0,0,2,5,3,4,2,1,0
5,0,1,1,1,2,2,5,3,2,6,1,0
6,2,1,1,1,0,0,1,1,1,4,4,3
7,4,4,3,2,0,0,0,0,0,0,1,2
8,2,2,5,5,0,0,0,0,0,0,0,0
9,0,12,0,17,0,1,1,1,1,1,0,0
10,0,1,4,8,5,6,4,1,3,0,0,0
11,1,2,2,1,1,1,1,2,2,0,0,1
12,1,0,1,1,2,2,2,2,1,1,3,0
13,1,1,0,0,2,3,4,5,5,2,7,2
14,5,0,0,0,1,1,2,2,2,3,6,1
15,9,2,4,4,1,3,0,3,1,2,7,2
16,1,2,1,6,4,3,6,2,5,2,1,0
17,3,3,5,3,3,4,3,0,1,1,3,2
18,1,1,7,1,9,1,0,1,0,0,1,2
19,1,0,3,3,4,2,2,2,1,3,0,0
20,3,4,1,0,1,0,0,0,1,1,4,4
21,5,3,0,1,1,1,1,0,1,1,4,4
22,2,2,2,2,2,3,3,2,1,1,1,0
23,0,0,4,0,4,1,1,3,3,4,2,1
24,1,1,2,2,2,4,3,3,4,3,5,2
25,1,1,1,1,1,2,4,4,5,1,3,1
26,2,0,2,0,0,2,0,4,1,2,1,0
