Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,0,0,10,0,0,4,0,1,0,2,7,3
2,3,0,0,2,10,6,0,2,0,2,7,2
3,4,0,4,0,5,4,1,8,0,6,0,2
4,7,0,6,0,2,5,1,3,3,3,0,5
5,2,0,7,0,5,2,1,1,1,5,1,6
6,6,1,3,0,9,4,1,5,0,3,0,9
7,6,0,6,0,6,6,1,5,0,4,1,5
8,1,0,0,0,2,2,0,1,0,3,1,0
9,4,0,2,0,1,8,2,1,0,9,0,0
10,6,0,4,2,0,14,1,3,0,0,2,2
11,5,0,5,0,4,5,0,4,0,4,0,4
12,3,2,10,2,3,7,3,2,0,0,0,4
13,2,6,0,4,0,1,5,2,4,4,1,2
14,4,6,2,1,4,2,5,4,4,7,1,1
15,0,2,3,1,1,2,2,4,1,2,4,2
16,0,1,4,0,0,1,0,1,0,2,4,1
17,1,0,1,1,1,3,0,1,1,3,4,0
18,0,0,1,1,0,4,0,1,0,2,2,0
