Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,4,0,0,0,2,0,2,3,0,0,0,0
2,8,0,0,0,5,0,2,6,0,0,0,0
3,8,0,0,0,8,1,1,8,0,1,0,4
4,9,0,1,0,5,0,1,8,0,1,2,2
5,7,0,3,0,3,4,0,2,0,2,0,4
6,8,0,3,0,5,3,0,2,0,0,1,0
7,4,0,1,0,2,2,1,3,0,3,0,2
8,3,0,2,0,1,0,1,1,0,1,0,2
9,1,0,3,0,4,1,3,2,0,1,0,0
10,1,1,3,0,3,0,0,0,1,2,0,2
11,2,0,3,0,2,1,0,3,0,1,0,1
12,1,0,3,0,0,1,0,3,0,3,0,3
13,1,0,2,0,2,1,1,2,0,2,0,0
14,4,0,0,0,2,0,2,2,0,0,0,0
15,6,0,0,0,5,0,2,6,0,0,0,0
16,10,0,0,0,7,1,1,8,0,1,0,3
17,11,0,2,0,4,0,1,8,0,1,2,2
18,8,0,3,0,3,4,0,2,0,2,0,4
19,8,0,4,0,4,3,0,4,0,2,2,1
20,5,0,1,0,2,2,1,3,0,3,0,2
21,5,0,2,0,1,0,1,1,0,1,0,2
22,3,0,1,0,6,1,1,3,0,0,0,2
23,0,0,4,0,2,0,0,2,1,0,0,1
24,0,0,6,0,5,2,0,2,1,6,0,4
25,1,0,2,0,1,0,1,0,0,2,0,1
26,1,0,4,0,1,0,0,1,0,0,0,1
27,0,0,4,0,0,0,2,0,0,1,0,0
28,0,1,1,0,3,0,0,2,0,0,0,1
29,1,0,3,0,2,4,0,2,0,1,0,1
30,2,0,2,0,2,0,0,0,0,2,0,1
31,1,1,5,0,3,0,1,6,0,2,0,2
32,1,0,3,0,3,0,0,2,0,0,0,1
33,0,0,0,0,2,2,0,2,0,1,0,1
34,1,0,4,0,0,0,1,2,0,0,0,3
35,1,0,3,0,3,0,0,1,0,2,0,1
36,1,2,1,0,1,0,2,3,0,5,0,1
37,1,1,2,0,1,0,1,1,0,1,0,1
38,3,0,13,0,7,2,2,7,0,7,0,7
39,2,9,7,0,0,0,0,6,0,14,0,2
40,0,0,0,0,3,0,0,1,0,2,0,0
41,2,0,1,0,1,2,0,1,0,0,0,1
42,3,0,2,0,3,2,0,3,0,2,1,3
43,3,0,2,1,3,1,2,4,0,1,0,1
44,3,0,1,0,4,0,2,8,0,0,0,0
45,3,0,2,0,8,2,2,7,0,2,0,0
46,4,0,2,0,6,1,2,7,0,0,0,1
47,5,0,5,0,4,4,0,2,0,2,0,1
48,7,0,1,0,4,5,0,3,0,2,1,0
49,5,6,5,5,5,3,3,1,2,3,1,8
50,6,1,2,1,2,5,4,2,3,2,3,6
51,0,5,0,0,5,0,0,0,0,4,0,0
