Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,1,0,0,0,0,0,0,0,1,1,0,0
2,0,1,1,0,0,1,0,0,0,0,1,1
3,0,0,0,1,1,0,1,1,0,0,0,0
4,0,0,0,0,0,1,1,0,0,1,0,0
5,0,0,0,0,0,0,0,1,1,0,1,0
6,0,1,1,1,1,0,0,0,0,0,0,1
7,1,2,0,1,1,0,0,0,0,0,0,0
8,1,0,1,0,0,0,0,0,0,0,1,0
9,1,0,0,0,0,1,1,1,1,1,0,0
10,0,0,0,1,2,0,0,0,0,0,0,0
11,0,1,1,0,0,0,0,1,0,0,1,1
12,0,0,0,0,0,1,1,0,1,1,0,0
13,1,1,1,1,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,0,1,1,0,1
15,1,0,0,0,0,0,0,1,1,1,2,1
16,0,1,1,0,0,1,0,0,0,0,0,0
17,0,0,0,1,1,1,1,0,0,0,0,0
18,0,1,1,0,1,0,1,0,0,0,0,0
19,1,0,0,0,0,0,1,1,1,1,0,1
