Measure,Used Pitch Classes,Cumulative Used Pitch Classes,Used Count,Cumulative Count
1,"0,5,11","0,5,11",3,3
2,"0,5,11","0,5,11",3,3
3,"0,5,11","0,5,11",3,3
4,"0,2,9,11","0,2,5,9,11",4,5
5,"0,2,4,6,7,9,11","0,2,4,5,6,7,9,11",7,8
6,"0,2,4,6,7,9","0,2,4,5,6,7,9,11",6,8
7,"0,5,7","0,2,4,5,6,7,9,11",3,8
8,"0,5,7,11","0,2,4,5,6,7,9,11",4,8
9,"0,5,7,11","0,2,4,5,6,7,9,11",4,8
10,"2,4,6,7,9","0,2,4,5,6,7,9,11",5,8
11,"0,1,2,4,6,7,8,9,11","0,1,2,4,5,6,7,8,9,11",9,10
12,"0,1,2,4,7,8,9,11","0,1,2,4,5,6,7,8,9,11",8,10
13,7,"0,1,2,4,5,6,7,8,9,11",1,10
14,"2,4,5","0,1,2,4,5,6,7,8,9,11",3,10
15,"0,2,4,5,7,9,11","0,1,2,4,5,6,7,8,9,11",7,10
16,"0,2,4,5,7,9,11","0,1,2,4,5,6,7,8,9,11",7,10
17,"0,1,2,4,5,7,9,11","0,1,2,4,5,6,7,8,9,11",8,10
18,"0,2,4,6,7,9,11","0,1,2,4,5,6,7,8,9,11",7,10
19,"0,2,5,7","0,1,2,4,5,6,7,8,9,11",4,10
20,"0,5,7","0,1,2,4,5,6,7,8,9,11",3,10
21,"0,5,7,11","0,1,2,4,5,6,7,8,9,11",4,10
22,"0,5,7,11","0,1,2,4,5,6,7,8,9,11",4,10
23,"2,4,6,7,9","0,1,2,4,5,6,7,8,9,11",5,10
24,"0,1,2,4,7,8,9,11","0,1,2,4,5,6,7,8,9,11",8,10
25,"0,1,4,6,7,8,9,11","0,1,2,4,5,6,7,8,9,11",8,10
26,"0,1,2,3,4,6,7,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",10,12
27,"0,1,2,3,4,6,7,10,11","0,1,2,3,4,5,6,7,8,9,10,11",9,12
28,"0,1,2,3,4,6,7,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",10,12
29,"0,1,2,3,4,6,7,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",10,12
30,"0,1,6","0,1,2,3,4,5,6,7,8,9,10,11",3,12
31,"0,1,6","0,1,2,3,4,5,6,7,8,9,10,11",3,12
32,"0,1,2,3,4,5,6","0,1,2,3,4,5,6,7,8,9,10,11",7,12
33,"0,1,2,3,4,5,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",9,12
34,"0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",12,12
35,"3,5,10","0,1,2,3,4,5,6,7,8,9,10,11",3,12
36,"3,5,7,10,11","0,1,2,3,4,5,6,7,8,9,10,11",5,12
37,"3,5,7,10,11","0,1,2,3,4,5,6,7,8,9,10,11",5,12
38,"5,10,11","0,1,2,3,4,5,6,7,8,9,10,11",3,12
39,"0,7,11","0,1,2,3,4,5,6,7,8,9,10,11",3,12
40,"0,3,5,7,10,11","0,1,2,3,4,5,6,7,8,9,10,11",6,12
41,"0,3,5,7,10,11","0,1,2,3,4,5,6,7,8,9,10,11",6,12
42,"0,3,5,7,10,11","0,1,2,3,4,5,6,7,8,9,10,11",6,12
43,"0,2,4,5,7","0,1,2,3,4,5,6,7,8,9,10,11",5,12
44,"0,2,4,5,6,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",8,12
45,"0,5,7,9","0,1,2,3,4,5,6,7,8,9,10,11",4,12
46,"0,7","0,1,2,3,4,5,6,7,8,9,10,11",2,12
47,"4,5,7","0,1,2,3,4,5,6,7,8,9,10,11",3,12
48,"1,5,6","0,1,2,3,4,5,6,7,8,9,10,11",3,12
49,"1,4,5,6","0,1,2,3,4,5,6,7,8,9,10,11",4,12
50,"0,2,4,5,6,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",8,12
51,"0,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",11,12
52,"1,6","0,1,2,3,4,5,6,7,8,9,10,11",2,12
53,1,"0,1,2,3,4,5,6,7,8,9,10,11",1,12
54,"0,1,2,3,4,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",8,12
55,"0,2,5,6,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",7,12
56,"0,5,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",5,12
57,"0,2,4,5,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",7,12
58,"0,2,4,5,6,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",8,12
59,"0,2,5,7","0,1,2,3,4,5,6,7,8,9,10,11",4,12
60,"0,2,5,7","0,1,2,3,4,5,6,7,8,9,10,11",4,12
