Measure,Used Pitch Classes,Cumulative Used Pitch Classes,Used Count,Cumulative Count
1,"0,4,6,7","0,4,6,7",4,4
2,"0,4,6,7","0,4,6,7",4,4
3,"0,4,5,6,7,9,11","0,4,5,6,7,9,11",7,7
4,"0,2,4,6,7,9,10,11","0,2,4,5,6,7,9,10,11",8,9
5,"0,2,4,5,7,9,11","0,2,4,5,6,7,9,10,11",7,9
6,"0,2,4,5,7,10","0,2,4,5,6,7,9,10,11",6,9
7,"0,2,4,5,6,7,9,11","0,2,4,5,6,7,9,10,11",8,9
8,"0,2,4,6,7,9,11","0,2,4,5,6,7,9,10,11",7,9
9,"0,2,4,5,6,7,9","0,2,4,5,6,7,9,10,11",7,9
10,"0,1,2,4,8,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
11,"0,2,4,5,7,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
12,"0,2,5,7,9,11","0,1,2,4,5,6,7,8,9,10,11",6,11
13,"0,2,4,5,6,7,9","0,1,2,4,5,6,7,8,9,10,11",7,11
14,"0,4,6,7","0,1,2,4,5,6,7,8,9,10,11",4,11
15,"0,4,6,7","0,1,2,4,5,6,7,8,9,10,11",4,11
16,"0,4,5,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
17,"0,2,4,6,7,9,10,11","0,1,2,4,5,6,7,8,9,10,11",8,11
18,"0,2,4,5,7,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
19,"0,2,4,5,7,9,10,11","0,1,2,4,5,6,7,8,9,10,11",8,11
20,"0,2,4,5,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",8,11
21,"0,2,4,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
22,"0,2,4,5,6,7,11","0,1,2,4,5,6,7,8,9,10,11",7,11
23,"2,4,7,8,11","0,1,2,4,5,6,7,8,9,10,11",5,11
24,"2,4,5,7,8,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
25,"0,2,4,6,9,11","0,1,2,4,5,6,7,8,9,10,11",6,11
26,"0,2,4,7,11","0,1,2,4,5,6,7,8,9,10,11",5,11
27,"2,6,9","0,1,2,4,5,6,7,8,9,10,11",3,11
28,"1,2,4,7,11","0,1,2,4,5,6,7,8,9,10,11",5,11
29,"0,2,4,5,7,9,11","0,1,2,4,5,6,7,8,9,10,11",7,11
30,"0,2,4,9,11","0,1,2,4,5,6,7,8,9,10,11",5,11
31,"0,1,2,4,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",8,11
32,"0,2,4,7,11","0,1,2,4,5,6,7,8,9,10,11",5,11
33,"4,5,7,9,11","0,1,2,4,5,6,7,8,9,10,11",5,11
34,"0,2,6,7,11","0,1,2,4,5,6,7,8,9,10,11",5,11
35,"0,2,4,7,9,11","0,1,2,4,5,6,7,8,9,10,11",6,11
36,"0,1,2,4,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",8,11
37,"0,1,2,4,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",8,11
38,"0,2,4,5,6,7,9,11","0,1,2,4,5,6,7,8,9,10,11",8,11
39,"0,1,2,7,9,11","0,1,2,4,5,6,7,8,9,10,11",6,11
40,"4,7,9","0,1,2,4,5,6,7,8,9,10,11",3,11
41,"0,2,4,5,7,11","0,1,2,4,5,6,7,8,9,10,11",6,11
42,"0,2,4,5,7,9,10,11","0,1,2,4,5,6,7,8,9,10,11",8,11
43,"0,2,3,4,5,6,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",9,12
44,"0,2,4,6,7","0,1,2,3,4,5,6,7,8,9,10,11",5,12
45,"0,2,4,5,6,7,9","0,1,2,3,4,5,6,7,8,9,10,11",7,12
46,"0,2,4,5,6,7,11","0,1,2,3,4,5,6,7,8,9,10,11",7,12
47,"0,2,4,5,7,9,11","0,1,2,3,4,5,6,7,8,9,10,11",7,12
48,"0,2,4,5,7,9,10","0,1,2,3,4,5,6,7,8,9,10,11",7,12
49,"0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",12,12
50,"0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",12,12
51,"1,4,9","0,1,2,3,4,5,6,7,8,9,10,11",3,12
